make_model,Price,Registration Date,COE Remaining,Manufactured,Mileage,No. of Owners,Transmission,Engine Capacity,fuel_type,COE,OMV,Paper Value,Depreciation,Type
MERCEDES-BENZ C-CLASS C200K (COE TILL 10/2028),"$63,800   ",19-Dec-2008,7yrs 5mths 13days,2008,"165,000 km",4,Auto,"1,796 cc",,"$32,279","$43,106","$24,081","$8,550 / year",Luxury Sedan
NISSAN X-TRAIL 2.0A PREMIUM 7-SEATER SUNROOF,"$81,800   ",21-Mar-2017,5yrs 10mths 2days,2016,"74,000 km",1,Auto,"1,997 cc",,"$53,300","$23,955","$50,286","$11,810 / year",SUV
NISSAN ELGRAND 2.5A HIGHWAY STAR,"$88,000   ",03-Aug-2016,5yrs 2mths 15days,2016,"82,225 km",1,Auto,"2,488 cc",,"$57,501","$34,974","$60,687","$12,950 / year",MPV
MERCEDES-BENZ CLS-CLASS CLS450 MILD HYBRID AMG LINE 4MATIC,"$367,988   ",30-Oct-2020,9yrs 5mths 11days,2020,652 km,1,Auto,"2,999 cc",Petrol-Electric,"$32,801","$83,552","$122,808","$32,440 / year",Luxury Sedan
TOYOTA HARRIER 2.4A G (COE TILL 09/2029),"$58,500   ",23-Sep-2009,8yrs 4mths 4days,2008,"174,000 km",5,Auto,"2,362 cc",,"$37,941","$27,778","$31,694","$7,000 / year",SUV
NISSAN ELGRAND 2.5A HIGHWAY STAR,"$88,000   ",03-Aug-2016,5yrs 2mths 15days,2016,"82,225 km",1,Auto,"2,488 cc",,"$57,501","$34,974","$60,687","$12,950 / year",MPV
MERCEDES-BENZ CLS-CLASS CLS450 MILD HYBRID AMG LINE 4MATIC,"$367,988   ",30-Oct-2020,9yrs 5mths 11days,2020,652 km,1,Auto,"2,999 cc",Petrol-Electric,"$32,801","$83,552","$122,808","$32,440 / year",Luxury Sedan
TOYOTA HARRIER 2.4A G (COE TILL 09/2029),"$58,500   ",23-Sep-2009,8yrs 4mths 4days,2008,"174,000 km",5,Auto,"2,362 cc",,"$37,941","$27,778","$31,694","$7,000 / year",SUV
NISSAN ELGRAND 2.5A HIGHWAY STAR,"$88,000   ",03-Aug-2016,5yrs 2mths 15days,2016,"82,225 km",1,Auto,"2,488 cc",,"$57,501","$34,974","$60,687","$12,950 / year",MPV
MERCEDES-BENZ CLS-CLASS CLS450 MILD HYBRID AMG LINE 4MATIC,"$367,988   ",30-Oct-2020,9yrs 5mths 11days,2020,652 km,1,Auto,"2,999 cc",Petrol-Electric,"$32,801","$83,552","$122,808","$32,440 / year",Luxury Sedan
TOYOTA HARRIER 2.4A G (COE TILL 09/2029),"$58,500   ",23-Sep-2009,8yrs 4mths 4days,2008,"174,000 km",5,Auto,"2,362 cc",,"$37,941","$27,778","$31,694","$7,000 / year",SUV
NISSAN ELGRAND 2.5A HIGHWAY STAR,"$88,000   ",03-Aug-2016,5yrs 2mths 15days,2016,"82,225 km",1,Auto,"2,488 cc",,"$57,501","$34,974","$60,687","$12,950 / year",MPV
MERCEDES-BENZ CLS-CLASS CLS450 MILD HYBRID AMG LINE 4MATIC,"$367,988   ",30-Oct-2020,9yrs 5mths 11days,2020,652 km,1,Auto,"2,999 cc",Petrol-Electric,"$32,801","$83,552","$122,808","$32,440 / year",Luxury Sedan
TOYOTA HARRIER 2.4A G (COE TILL 09/2029),"$58,500   ",23-Sep-2009,8yrs 4mths 4days,2008,"174,000 km",5,Auto,"2,362 cc",,"$37,941","$27,778","$31,694","$7,000 / year",SUV
NISSAN ELGRAND 2.5A HIGHWAY STAR,"$88,000   ",03-Aug-2016,5yrs 2mths 15days,2016,"82,225 km",1,Auto,"2,488 cc",,"$57,501","$34,974","$60,687","$12,960 / year",MPV
MERCEDES-BENZ CLS-CLASS CLS450 MILD HYBRID AMG LINE 4MATIC,"$367,988   ",30-Oct-2020,9yrs 5mths 11days,2020,652 km,1,Auto,"2,999 cc",Petrol-Electric,"$32,801","$83,552","$122,808","$32,450 / year",Luxury Sedan
TOYOTA HARRIER 2.4A G (COE TILL 09/2029),"$58,500   ",23-Sep-2009,8yrs 4mths 4days,2008,"174,000 km",5,Auto,"2,362 cc",,"$37,941","$27,778","$31,694","$7,000 / year",SUV
NISSAN ELGRAND 2.5A HIGHWAY STAR,"$88,000   ",03-Aug-2016,5yrs 2mths 15days,2016,"82,225 km",1,Auto,"2,488 cc",,"$57,501","$34,974","$60,687","$12,960 / year",MPV
MERCEDES-BENZ CLS-CLASS CLS450 MILD HYBRID AMG LINE 4MATIC,"$367,988   ",30-Oct-2020,9yrs 5mths 11days,2020,652 km,1,Auto,"2,999 cc",Petrol-Electric,"$32,801","$83,552","$122,808","$32,450 / year",Luxury Sedan
TOYOTA HARRIER 2.4A G (COE TILL 09/2029),"$58,500   ",23-Sep-2009,8yrs 4mths 4days,2008,"174,000 km",5,Auto,"2,362 cc",,"$37,941","$27,778","$31,694","$7,000 / year",SUV
NISSAN ELGRAND 2.5A HIGHWAY STAR,"$88,000   ",03-Aug-2016,5yrs 2mths 15days,2016,"82,225 km",1,Auto,"2,488 cc",,"$57,501","$34,974","$60,687","$12,960 / year",MPV
MERCEDES-BENZ CLS-CLASS CLS450 MILD HYBRID AMG LINE 4MATIC,"$367,988   ",30-Oct-2020,9yrs 5mths 11days,2020,652 km,1,Auto,"2,999 cc",Petrol-Electric,"$32,801","$83,552","$122,808","$32,450 / year",Luxury Sedan
MERCEDES-BENZ G-CLASS G350D AMG LINE 4MATIC,"$470,988   ",29-Aug-2020,9yrs 3mths 10days,2019,88 km,1,Auto,"2,925 cc",Diesel,"$32,500","$108,473","$155,615","$41,720 / year",SUV
TOYOTA HARRIER 2.4A G (COE TILL 09/2029),"$58,500   ",23-Sep-2009,8yrs 4mths 4days,2008,"174,000 km",5,Auto,"2,362 cc",,"$37,941","$27,778","$31,694","$7,000 / year",SUV
MAZDA 3 1.5A SUNROOF,"$56,888   ",29-Dec-2016,5yrs 7mths 10days,2016,"80,000 km",4,Auto,"1,496 cc",,"$51,507","$19,053","$39,468","$8,880 / year",Mid-Sized Sedan
AUDI A5 SPORTBACK 2.0A TFSI QUATTRO,"$85,000   ",29-Jun-2015,4yrs 1mth 10days,2010,"83,000 km",4,Auto,"1,984 cc",,"$74,501","$46,214","$70,348","$13,770 / year",Luxury Sedan
TOYOTA PRIUS C HYBRID 1.5A,"$40,299   ",10-Mar-2015,3yrs 9mths 19days,2014,"92,000 km",2,Auto,"1,497 cc",Petrol-Electric,"$61,410","$23,578","$26,660","$9,920 / year",Hatchback
BMW 5 SERIES 520I,"$79,888   ",10-Apr-2015,3yrs 10mths 22days,2014,"116,000 km",3,Auto,"1,997 cc",,"$76,612","$43,074","$60,595","$14,430 / year",Luxury Sedan
BMW I8,"$385,000   ",28-Dec-2017,6yrs 7mths 9days,2017,"15,000 km",2,Auto,"1,499 cc",Petrol-Electric,"$49,000","$126,599","$159,816","$45,370 / year",Sports Car
TOYOTA CAMRY 2.5A,"$34,555   ",16-Aug-2012,1yr 2mths 28days,2012,"140,000 km",1,Auto,"2,494 cc",,"$86,999","$25,318","$24,746","$17,600 / year",Luxury Sedan
PEUGEOT 3008 DIESEL 1.6A BLUEHDI,"$53,000   ",28-Oct-2016,5yrs 5mths 9days,2016,"49,000 km",2,Auto,"1,560 cc",Diesel,"$50,991","$21,456","$36,802","$8,630 / year",SUV
BMW 7 SERIES 730LI SUNROOF,"$238,000   ",28-Mar-2018,6yrs 10mths 9days,2017,"20,000 km",1,Auto,"1,998 cc",,"$39,001","$79,348","$112,887","$26,310 / year",Luxury Sedan
TOYOTA WISH 1.8A X,"$70,800   ",15-May-2017,5yrs 11mths 26days,2016,"57,000 km",3,Auto,"1,797 cc",,"$55,000","$19,098","$47,278","$10,220 / year",MPV
